metric,,,curvature,curvature,curvature,second_order_coeff_x,second_order_coeff_x,second_order_coeff_x,second_order_coeff_y,second_order_coeff_y,second_order_coeff_y,second_order_coeff_z,second_order_coeff_z,second_order_coeff_z
summary,,,median,low,high,median,low,high,median,low,high,median,low,high
fish,date,condition,,,,,,,,,,,,
Lazy,2020-12-11,floor,5.349509561569093,2.841193714849112,11.287524605926878,-5.897671025288236e-05,-0.00021235766588823435,1.115878286422179e-05,-5.775111579304546e-05,-0.00017082170333481425,4.275860531685271e-05,6.859992108620457e-05,-0.00010106568057425668,0.00022115581501370513
Lazy,2020-12-11,well,,,,,,,,,,,,
Mark,2020-12-01,floor,13.152001553150484,7.680567347150789,22.372604143313755,-0.00019365543353760487,-0.000498498014340664,0.00014028191837824194,-8.432964146896002e-05,-0.0002767095729779943,0.00010430495197591467,7.737341314165411e-05,-9.21265600383993e-05,0.0002919937171492807
Mark,2020-12-01,well,12.564119360673617,7.688379597298512,19.80297703359311,-0.00017479601506993194,-0.0004262810618083864,0.00016505555423530622,-8.824012231241681e-05,-0.0002458195806511086,7.73880463171156e-05,7.244938641503335e-05,-0.00018933605991910477,0.000269704078926995
Mark,2020-12-03,floor,17.90277002061587,9.181480489693424,28.67587460604826,-0.00031241978244601735,-0.0007010358893647491,0.0001540565775148946,-8.63949508973402e-05,-0.0003293340041759891,0.00014539383451541316,4.578718379749371e-05,-9.662385792688525e-05,0.00018159906726863587
Mark,2020-12-03,well,11.255669203902233,7.163486184979174,18.610706994137423,-0.00019448728153104698,-0.00042667184548495505,0.0001211623806110051,-7.915134618983587e-05,-0.00023874534706903473,0.00011060578871042461,-1.9617533398873253e-05,-0.00019308351886567718,0.0001878465295579368
Mark,2020-12-05,floor,20.84845925211793,13.93842649665572,28.697469674659043,-0.00047734741129481514,-0.0008083869642014349,9.862275998168012e-05,-0.0001485285743153446,-0.0003688185727256312,8.11118610266172e-06,9.071614364732639e-05,-8.877737705334426e-05,0.00023359595543784222
Mark,2020-12-05,well,14.165869216989346,9.355581316445488,22.14620018537582,-0.00032265361553924577,-0.0005717493545053507,6.371040888470844e-05,-0.0001895897227763102,-0.0003740385428734647,4.966448337096322e-06,8.93629141885249e-05,-0.00013851634807977568,0.000274081879470162
Mark,2020-12-07,floor,15.319673805578237,9.274813426556436,25.611207194397807,-0.0002957986916263274,-0.0006059092803622173,-8.983745507167072e-06,-8.22185426213845e-05,-0.00027333861151780073,0.00012339420802786927,7.938798637700303e-05,-0.00013065525995680985,0.0002714868988859771
Mark,2020-12-07,well,12.452976335312878,8.077473526952726,19.430987404556507,-0.00031037918480373737,-0.0005692518152032298,-2.2838785859421368e-05,-0.0001057403205694973,-0.00030271509815198497,0.00015612858562884772,-2.0165203653596754e-05,-0.0002803939291503914,0.00018322255251896025
Mark,2020-12-09,floor,15.619458496098227,8.1761399975063,25.673452643877596,-0.0005334356831390663,-0.0009223333013280354,-0.00021083040482943897,-0.00011045280664332099,-0.0002935530003672185,0.00011041833863544175,7.758771421187616e-05,-0.00012372972593197945,0.0003544773883754997
Mark,2020-12-09,well,11.82925937781835,7.535992237099348,18.513418718177284,-0.00037571265483323207,-0.0006083746239845425,-0.00012893588387900127,-9.567225770613302e-05,-0.0002478960982374853,9.645384499048248e-05,0.0001306128986919762,-0.00010129185888644401,0.00033027816214174636
Mark,2020-12-11,floor,,,,,,,,,,,,
Mark,2020-12-11,well,8.703734507119924,4.703286028243022,20.2375465434582,-0.00010803698560963673,-0.00029015005986676674,6.528535178852551e-05,-1.5507885904135565e-05,-0.0002044931320955579,0.0001868341773555883,4.955177336444773e-05,-0.0001420961406703596,0.00026982929019416695
Mark,2020-12-13,floor,6.774142687782517,3.4939821514323364,13.310080956389518,6.9545602805075805e-06,-7.965464736360737e-05,0.00013293229470967186,-5.927137432058546e-06,-0.0002519289911090444,0.00010696664160098887,-5.764375296331361e-05,-0.0002199820064701701,7.670417253638023e-05
Mark,2020-12-13,well,7.852637657264758,4.099126940274492,13.689761774709044,-7.11830339528995e-05,-0.0002597825546601566,8.095694569137456e-05,-8.839316600374373e-05,-0.0002711896629501401,7.802696244379994e-05,-6.663936589561717e-05,-0.000276950365443121,9.362516531557845e-05
Mark,2020-12-15,floor,7.62228373683905,3.9811671918746083,15.412122944650122,-8.079763431855358e-05,-0.00020274229411682508,4.5627119169454404e-05,-0.00010697757002351098,-0.00023467703868128423,4.0783715072788924e-05,-1.8302663127145828e-05,-0.00019859463962399647,0.00012551526178513432
Mark,2020-12-15,well,7.202792460291224,4.1509206091055,13.075140407917337,-5.286191563507019e-05,-0.0002306679299177149,5.596377654891895e-05,-0.00010402413901933099,-0.00024479015248473127,4.0300244824214846e-05,-5.839904651549721e-05,-0.0002657955778764189,0.00011550893522518349
Mark,2020-12-16,floor,10.366998647210341,5.028285976038912,20.264718673943314,-7.324422070487016e-05,-0.00026033673577069487,0.00013815247333804687,-0.00011080373428582967,-0.00027425240605321856,4.4542448835329886e-05,-4.739797822006611e-06,-0.0002242337185885469,0.00016385829633268155
